Data,Município,Índice
1 de fev. de 2020,Autazes,0.25
1 de fev. de 2020,Boca do Acre,0.37
1 de fev. de 2020,Borba,0.46
1 de fev. de 2020,Careiro,0.36
1 de fev. de 2020,Careiro da Várzea,0.36
1 de fev. de 2020,Coari,0.46
1 de fev. de 2020,Humaitá,0.38
1 de fev. de 2020,Iranduba,0.33
1 de fev. de 2020,Itacoatiara,0.28
1 de fev. de 2020,Lábrea,0.4
1 de fev. de 2020,Manacapuru,0.34
1 de fev. de 2020,Manaus,0.34
1 de fev. de 2020,Manicoré,0.36
1 de fev. de 2020,Maués,0.28
1 de fev. de 2020,Parintins,0.27
1 de fev. de 2020,Presidente Figueiredo,0.35
1 de fev. de 2020,Rio Preto da Eva,0.37
1 de fev. de 2020,São Gabriel da Cachoeira,0.33
1 de fev. de 2020,Tabatinga,0.36
1 de fev. de 2020,Tefé,0.34
2 de fev. de 2020,Autazes,0.38
2 de fev. de 2020,Boca do Acre,0.42
2 de fev. de 2020,Borba,0.43
2 de fev. de 2020,Careiro,0.42
2 de fev. de 2020,Careiro da Várzea,0.39
2 de fev. de 2020,Coari,0.43
2 de fev. de 2020,Humaitá,0.35
2 de fev. de 2020,Iranduba,0.39
2 de fev. de 2020,Itacoatiara,0.34
2 de fev. de 2020,Lábrea,0.35
2 de fev. de 2020,Manacapuru,0.38
2 de fev. de 2020,Manaus,0.41
2 de fev. de 2020,Manicoré,0.43
2 de fev. de 2020,Maués,0.32
2 de fev. de 2020,Parintins,0.31
2 de fev. de 2020,Presidente Figueiredo,0.4
2 de fev. de 2020,Rio Preto da Eva,0.36
2 de fev. de 2020,São Gabriel da Cachoeira,0.38
2 de fev. de 2020,Tabatinga,0.32
2 de fev. de 2020,Tefé,0.41
3 de fev. de 2020,Autazes,0.3
3 de fev. de 2020,Boca do Acre,0.34
3 de fev. de 2020,Borba,0.25
3 de fev. de 2020,Careiro,0.29
3 de fev. de 2020,Careiro da Várzea,0.24
3 de fev. de 2020,Coari,0.33
3 de fev. de 2020,Humaitá,0.26
3 de fev. de 2020,Iranduba,0.3
3 de fev. de 2020,Itacoatiara,0.25
3 de fev. de 2020,Lábrea,0.24
3 de fev. de 2020,Manacapuru,0.28
3 de fev. de 2020,Manaus,0.29
3 de fev. de 2020,Manicoré,0.32
3 de fev. de 2020,Maués,0.22
